record_type,case_id,entity_id,evidence_id,location_id,event_id,review_id,test_id,issue_id,issue_type,description,related_entity_id,related_evidence_id,status,audit_id,action,target_type,target_id,actor,timestamp,details,case_name,case_type,priority,incident_start,incident_end,primary_location,event_type,event_time,confidence,file_name,file_type,source_type,sha256,uploaded_by,uploaded_at,processed_at,name,type,address,latitude,longitude,accuracy_m,primary_evidence_id,aliases,observation_id,observed_at,source_id,relationship_type,source_reference,relationship_source,relationship_target,ai_confidence,reason,review_note,test_area,test_action,expected_result
case,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,nan,nan,"Synthetic end-to-end test case covering entities, relationships, locations, events, evidence, AI review, duplicates, conflicts and reporting.",nan,nan,Active,nan,nan,nan,nan,nan,nan,nan,Project Northstar,Financial & Communication Network,High,2026-08-10,2026-08-14,"Sector 17 Office, Chandigarh",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
events,C-TEST-2026-001,P001,E002,,EV001,nan,nan,nan,nan,Rahul called Amit.,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CALL,2026-08-12T10:15:00,95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
events,C-TEST-2026-001,V001,E004,L001,EV002,nan,nan,nan,nan,Vehicle PB10AB1234 observed at Sector 17 Office.,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VEHICLE_OBSERVED,2026-08-12T10:25:00,98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
events,C-TEST-2026-001,P001,E005,L001,EV003,nan,nan,nan,nan,Rahul observed at Sector 17 Office.,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LOCATION_OBSERVATION,2026-08-12T10:30:00,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
events,C-TEST-2026-001,P002,E005,L002,EV004,nan,nan,nan,nan,Amit observed at Industrial Warehouse.,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LOCATION_OBSERVATION,2026-08-12T18:30:00,95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
events,C-TEST-2026-001,P001,E003,L002,EV005,nan,nan,nan,nan,Financial transfer associated with Rahul account.,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TRANSFER,2026-08-12T20:15:00,97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
events,C-TEST-2026-001,P003,E005,L003,EV006,nan,nan,nan,nan,Sonal observed at City Hotel.,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LOCATION_OBSERVATION,2026-08-13T14:20:00,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
events,C-TEST-2026-001,V001,E005,L003,EV007,nan,nan,nan,nan,Vehicle PB10AB1234 observed near City Hotel.,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VEHICLE_OBSERVED,2026-08-13T14:05:00,86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
events,C-TEST-2026-001,P004,E005,L004,EV008,nan,nan,nan,nan,Imran observed at Highway Checkpoint.,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LOCATION_OBSERVATION,2026-08-14T09:15:00,88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
events,C-TEST-2026-001,P001,E005,L002,EV009,nan,nan,nan,nan,Possible Rahul presence at Industrial Warehouse.,nan,nan,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LOCATION_OBSERVATION,2026-08-12T18:30:00,82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
evidence,C-TEST-2026-001,nan,E001,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FIR_2026_014.pdf,pdf,FIR / Police Reports,sha256-test-001,INS001,2026-08-10T09:05:00,2026-08-10T09:06:10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
evidence,C-TEST-2026-001,nan,E002,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CDR_2026_08_12.csv,csv,CDR,sha256-test-002,INS001,2026-08-10T09:20:00,2026-08-10T09:20:03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
evidence,C-TEST-2026-001,nan,E003,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Financial_Report_2026_08.pdf,pdf,Financial Records,sha256-test-003,INS001,2026-08-10T10:00:00,2026-08-10T10:01:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
evidence,C-TEST-2026-001,nan,E004,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Vehicle_Register_2026_08.csv,csv,Vehicle Records,sha256-test-004,INS001,2026-08-10T10:30:00,2026-08-10T10:30:02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
evidence,C-TEST-2026-001,nan,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Field_Note_17.txt,txt,Field Intelligence,sha256-test-005,INS001,2026-08-10T11:00:00,2026-08-10T11:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
evidence,C-TEST-2026-001,nan,E006,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OSINT_Northstar.txt,txt,News / Open-source,sha256-test-006,INS001,2026-08-10T11:15:00,2026-08-10T11:15:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
locations,C-TEST-2026-001,nan,nan,L001,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sector 17 Office,place,"Sector 17, Chandigarh, India",30.7410,76.7825,30,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
locations,C-TEST-2026-001,nan,nan,L002,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Industrial Warehouse,place,"Industrial Area Phase 2, Chandigarh, India",30.7043,76.8005,25,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
locations,C-TEST-2026-001,nan,nan,L003,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,City Hotel,place,"Mall Road, Chandigarh, India",30.7333,76.7794,20,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
locations,C-TEST-2026-001,nan,nan,L004,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Highway Checkpoint,place,"NH-44 Checkpoint, Karnal, Haryana, India",29.6857,76.9905,50,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
locations,C-TEST-2026-001,nan,nan,L005,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Border Transit Point,place,"Ambala Cantt, Haryana, India",30.3782,76.7760,80,E006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,P001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Rahul Mehta,person,,,,nan,nan,Rahul; R. Mehta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,P002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Amit Verma,person,,,,nan,nan,Amit; A. Verma,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,P003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sonal Kapoor,person,,,,nan,nan,Sonal; S. Kapoor,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,P004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Imran Khan,person,,,,nan,nan,Imran; I. Khan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,P005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AI_SUGGESTED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R. Mehta,person,,,,nan,nan,R Mehta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,PH001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9876500011,phone,,,,nan,nan,Rahul Phone,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,PH002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9876500022,phone,,,,nan,nan,Amit Phone,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,PH003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9876500033,phone,,,,nan,nan,Sonal Phone,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,V001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB10AB1234,vehicle,"Sector 17, Chandigarh, India",30.7415,76.7821,nan,nan,Rahul SUV,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,V002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PB10CD5678,vehicle,"Industrial Area Phase 2, Chandigarh, India",30.7046,76.8010,nan,nan,Amit Sedan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,AC001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ACC-001,account,,,,nan,nan,Alpha Account,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,AC002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ACC-002,account,,,,nan,nan,Beta Account,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,ORG001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Alpha Trading,organization,,,,nan,nan,Alpha Traders; Alpha Trading Pvt Ltd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,ORG002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Beta Logistics,organization,,,,nan,nan,Beta Logistics; Beta Transport,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,L001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sector 17 Office,place,"Sector 17, Chandigarh, India",30.7410,76.7825,nan,nan,Main Office,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,L002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Industrial Warehouse,place,"Industrial Area Phase 2, Chandigarh, India",30.7043,76.8005,nan,nan,Warehouse,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,L003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,City Hotel,place,"Mall Road, Chandigarh, India",30.7333,76.7794,nan,nan,Hotel Alpha,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,L004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Highway Checkpoint,place,"NH-44 Checkpoint, Karnal, Haryana, India",29.6857,76.9905,nan,nan,Checkpoint,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,L005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Border Transit Point,place,"Ambala Cantt, Haryana, India",30.3782,76.7760,nan,nan,Transit Point,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,C001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Project Northstar,case,,,,nan,nan,Case Anchor,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,E001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FIR_2026_014.pdf,evidence,,,,nan,nan,FIR / Police Report,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,E002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CDR_2026_08_12.csv,evidence,,,,nan,nan,Call Detail Records,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,E003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Financial_Report_2026_08.pdf,evidence,,,,nan,nan,Financial Records,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,E004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Vehicle_Register_2026_08.csv,evidence,,,,nan,nan,Vehicle Records,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Field_Note_17.txt,evidence,,,,nan,nan,Field Intelligence,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nodes,C-TEST-2026-001,E006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OSINT_Northstar.txt,evidence,,,,nan,nan,News / Open Source,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
observations,C-TEST-2026-001,P001,nan,L001,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OBS001,2026-08-12T10:30:00,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
observations,C-TEST-2026-001,P002,nan,L002,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OBS002,2026-08-12T18:30:00,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
observations,C-TEST-2026-001,P003,nan,L003,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OBS003,2026-08-13T14:20:00,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
observations,C-TEST-2026-001,P004,nan,L004,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OBS004,2026-08-14T09:15:00,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
observations,C-TEST-2026-001,V001,nan,L001,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OBS005,2026-08-12T10:25:00,E004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
observations,C-TEST-2026-001,V001,nan,L003,nan,nan,nan,nan,nan,nan,nan,nan,VERIFIED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OBS006,2026-08-13T14:05:00,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
observations,C-TEST-2026-001,P001,nan,L002,nan,nan,nan,nan,nan,nan,nan,nan,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,OBS007,2026-08-12T18:30:00,E005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
